Block Group,Census Tract,County,Estimated Population,Median Age,Median Household Income,Female:!!Service occupations:!!Food preparation and serving related occupations,"$100,000 to $124,999",State Code,County Code,Block Group Code
Block Group 1,Census Tract 2.01,Alachua County,843,24.1,25938,,,12,001,000201
Block Group 2,Census Tract 2.01,Alachua County,1611,21.5,31003,,,12,001,000201
Block Group 3,Census Tract 2.01,Alachua County,901,21.1,13117,,,12,001,000201
Block Group 4,Census Tract 2.01,Alachua County,1048,21.6,2499,,,12,001,000201
Block Group 1,Census Tract 2.02,Alachua County,1288,21.4,11941,,,12,001,000202
Block Group 2,Census Tract 2.02,Alachua County,1211,21.1,15835,,,12,001,000202
Block Group 3,Census Tract 2.02,Alachua County,2221,20.6,10559,,,12,001,000202
Block Group 1,Census Tract 3.01,Alachua County,1815,31.3,35697,,,12,001,000301
Block Group 2,Census Tract 3.01,Alachua County,2481,25.8,42651,,,12,001,000301
Block Group 1,Census Tract 3.02,Alachua County,465,29.2,-666666666,,,12,001,000302
Block Group 2,Census Tract 3.02,Alachua County,880,31.6,33281,,,12,001,000302
Block Group 3,Census Tract 3.02,Alachua County,1062,37.1,34932,,,12,001,000302
Block Group 1,Census Tract 4,Alachua County,1132,27.5,42672,,,12,001,000400
Block Group 2,Census Tract 4,Alachua County,632,47.5,54107,,,12,001,000400
Block Group 3,Census Tract 4,Alachua County,1338,42.9,42044,,,12,001,000400
Block Group 4,Census Tract 4,Alachua County,2727,27.6,48412,,,12,001,000400
Block Group 1,Census Tract 5,Alachua County,1200,29.9,38997,,,12,001,000500
Block Group 2,Census Tract 5,Alachua County,984,43.3,60114,,,12,001,000500
Block Group 3,Census Tract 5,Alachua County,795,50.6,72941,,,12,001,000500
Block Group 4,Census Tract 5,Alachua County,701,35.3,34500,,,12,001,000500
Block Group 5,Census Tract 5,Alachua County,1104,34.3,-666666666,,,12,001,000500
Block Group 1,Census Tract 6,Alachua County,1690,30.7,50301,,,12,001,000600
Block Group 2,Census Tract 6,Alachua County,1211,20.7,13533,,,12,001,000600
Block Group 3,Census Tract 6,Alachua County,3179,27.8,24527,,,12,001,000600
Block Group 1,Census Tract 7,Alachua County,59,-666666666.0,-666666666,,,12,001,000700
Block Group 2,Census Tract 7,Alachua County,1870,39.9,41625,,,12,001,000700
Block Group 3,Census Tract 7,Alachua County,2329,38.8,43362,,,12,001,000700
Block Group 4,Census Tract 7,Alachua County,2677,40.1,47679,,,12,001,000700
Block Group 1,Census Tract 8.06,Alachua County,1353,24.9,23846,,,12,001,000806
Block Group 2,Census Tract 8.06,Alachua County,2054,21.8,20213,,,12,001,000806
Block Group 1,Census Tract 8.08,Alachua County,931,27.1,50213,,,12,001,000808
Block Group 2,Census Tract 8.08,Alachua County,401,24.3,40750,,,12,001,000808
Block Group 3,Census Tract 8.08,Alachua County,2255,25.0,37750,,,12,001,000808
Block Group 1,Census Tract 8.09,Alachua County,1167,26.1,33369,,,12,001,000809
Block Group 1,Census Tract 9.01,Alachua County,2993,19.5,24851,,,12,001,000901
Block Group 1,Census Tract 9.02,Alachua County,6583,19.1,2499,,,12,001,000902
Block Group 1,Census Tract 10,Alachua County,1100,50.0,74655,,,12,001,001000
Block Group 2,Census Tract 10,Alachua County,1581,26.7,70625,,,12,001,001000
Block Group 3,Census Tract 10,Alachua County,1364,22.0,19609,,,12,001,001000
Block Group 4,Census Tract 10,Alachua County,1476,27.2,98595,,,12,001,001000
Block Group 5,Census Tract 10,Alachua County,723,21.3,2499,,,12,001,001000
Block Group 6,Census Tract 10,Alachua County,875,21.6,-666666666,,,12,001,001000
Block Group 1,Census Tract 11,Alachua County,1596,41.7,133697,,,12,001,001100
Block Group 2,Census Tract 11,Alachua County,1739,59.8,51354,,,12,001,001100
Block Group 3,Census Tract 11,Alachua County,1654,44.4,78269,,,12,001,001100
Block Group 4,Census Tract 11,Alachua County,1942,40.9,120233,,,12,001,001100
Block Group 1,Census Tract 12.01,Alachua County,3253,43.1,58958,,,12,001,001201
Block Group 1,Census Tract 12.02,Alachua County,1682,42.2,70903,,,12,001,001202
Block Group 2,Census Tract 12.02,Alachua County,3206,35.2,86807,,,12,001,001202
Block Group 3,Census Tract 12.02,Alachua County,600,31.0,39017,,,12,001,001202
Block Group 4,Census Tract 12.02,Alachua County,786,35.1,69559,,,12,001,001202
Block Group 5,Census Tract 12.02,Alachua County,2358,32.9,74737,,,12,001,001202
Block Group 1,Census Tract 12.03,Alachua County,4110,33.5,51163,,,12,001,001203
Block Group 1,Census Tract 14,Alachua County,1447,37.3,41935,,,12,001,001400
Block Group 2,Census Tract 14,Alachua County,3243,31.6,46406,,,12,001,001400
Block Group 1,Census Tract 15.14,Alachua County,1079,27.2,33185,,,12,001,001514
Block Group 2,Census Tract 15.14,Alachua County,726,26.4,-666666666,,,12,001,001514
Block Group 1,Census Tract 15.15,Alachua County,394,30.0,21165,,,12,001,001515
Block Group 2,Census Tract 15.15,Alachua County,2373,24.5,24904,,,12,001,001515
Block Group 3,Census Tract 15.15,Alachua County,1329,23.5,41278,,,12,001,001515
Block Group 4,Census Tract 15.15,Alachua County,777,21.3,16056,,,12,001,001515
Block Group 1,Census Tract 15.16,Alachua County,649,24.5,10691,,,12,001,001516
Block Group 2,Census Tract 15.16,Alachua County,991,23.0,16982,,,12,001,001516
Block Group 3,Census Tract 15.16,Alachua County,904,24.5,42176,,,12,001,001516
Block Group 1,Census Tract 15.17,Alachua County,1816,30.8,40703,,,12,001,001517
Block Group 2,Census Tract 15.17,Alachua County,742,21.7,19155,,,12,001,001517
Block Group 3,Census Tract 15.17,Alachua County,2566,22.9,34500,,,12,001,001517
Block Group 1,Census Tract 15.19,Alachua County,2144,24.2,30658,,,12,001,001519
Block Group 1,Census Tract 15.22,Alachua County,2739,23.5,22270,,,12,001,001522
Block Group 2,Census Tract 15.22,Alachua County,1704,23.9,34537,,,12,001,001522
Block Group 3,Census Tract 15.22,Alachua County,1027,22.4,21845,,,12,001,001522
Block Group 4,Census Tract 15.22,Alachua County,901,29.9,39063,,,12,001,001522
Block Group 1,Census Tract 16.05,Alachua County,1835,25.0,38583,,,12,001,001605
Block Group 2,Census Tract 16.05,Alachua County,812,56.1,137583,,,12,001,001605
Block Group 3,Census Tract 16.05,Alachua County,1356,26.4,-666666666,,,12,001,001605
Block Group 4,Census Tract 16.05,Alachua County,1064,24.0,44609,,,12,001,001605
Block Group 5,Census Tract 16.05,Alachua County,2482,23.9,18500,,,12,001,001605
Block Group 6,Census Tract 16.05,Alachua County,1924,25.9,53000,,,12,001,001605
Block Group 1,Census Tract 17.01,Alachua County,1876,43.3,82370,,,12,001,001701
